currentDate,customerCode,onTimeSolution,deadlineDateTime
2017-11-10 00:00:00,8068,S,2017-11-10 01:59:00
2017-11-14 00:00:00,8068,S,2017-10-20 01:59:00
2017-11-17 00:00:00,8068,S,2017-11-17 01:59:00
2018-01-08 00:00:00,3363,S,2018-01-11 14:03:00
2018-01-08 00:00:00,3363,S,2018-01-11 18:48:00
2018-01-08 00:00:00,3363,S,2018-01-11 19:34:00
2018-01-08 00:00:00,3363,S,2018-01-11 18:33:00
2018-01-08 00:00:00,3363,S,2018-01-01 14:07:00
2018-01-08 00:00:00,3363,S,2018-01-11 18:58:00
2018-01-08 00:00:00,3363,S,2018-01-11 19:18:00
2018-01-08 00:00:00,3363,S,2018-01-11 19:04:00
2018-01-08 00:00:00,900102,S,2018-05-17 13:51:00
2018-01-08 00:00:00,3363,S,2018-01-11 19:57:00
2018-01-08 00:00:00,3363,S,2018-01-11 18:19:00
2018-01-08 00:00:00,3363,S,2018-01-11 16:48:00
2018-02-07 00:00:00,2581,S,
2018-02-07 00:00:00,8068,S,2018-01-30 21:00:00
2018-02-07 00:00:00,3363,S,2018-02-10 15:51:00
2018-02-07 00:00:00,215,S,
2018-02-07 00:00:00,8068,S,2018-01-30 21:00:00
2018-02-07 00:00:00,3363,S,2018-02-10 18:55:00
2018-02-14 00:00:00,2581,S,
2018-03-11 00:00:00,3363,S,
2018-06-16 00:00:00,3363,S,
2018-06-16 00:00:00,3363,S,
2018-08-06 00:00:00,372301,S,2018-08-09 14:19:00
2018-08-11 00:00:00,372301,N,2018-08-07 11:56:00
2018-08-17 00:00:00,372301,S,2018-08-18 17:46:00
2018-08-24 00:00:00,87520,N,2018-07-26 16:46:00
2018-08-30 00:00:00,372301,S,2018-09-11 21:00:00
2018-08-30 00:00:00,372301,S,2018-09-11 21:00:00
2018-08-30 00:00:00,372301,S,2018-09-11 21:00:00
2018-08-31 00:00:00,372301,N,2018-08-28 20:00:00
2018-09-04 00:00:00,3363,S,2018-09-07 22:01:00
2018-09-06 00:00:00,372301,S,2018-09-06 18:32:00
2018-09-10 00:00:00,372301,S,2018-09-12 12:03:00
2018-09-10 00:00:00,215,S,2018-09-13 14:05:00
2018-09-10 00:00:00,215,S,2018-09-13 14:05:00
2018-09-10 00:00:00,215,S,2018-09-13 14:19:00
2018-09-10 00:00:00,215,S,2018-09-13 14:21:00
2018-09-11 00:00:00,215,S,2018-09-13 20:54:00
2018-09-11 00:00:00,215,S,2018-09-13 20:52:00
2018-09-11 00:00:00,215,S,2018-09-13 20:54:00
2018-09-11 00:00:00,215,S,2018-09-14 11:01:00
2018-09-11 00:00:00,372301,S,2018-09-21 21:00:00
2018-09-11 00:00:00,215,S,2018-09-14 11:11:00
2018-09-11 00:00:00,215,S,2018-09-14 11:39:00
2018-09-11 00:00:00,87520,S,2018-09-11 22:38:00
2018-09-11 00:00:00,2581,S,
2018-09-11 00:00:00,2581,S,
2018-09-12 00:00:00,87520,S,2018-09-12 20:10:00
2018-09-12 00:00:00,87520,S,2018-09-13 17:23:00
2018-09-12 00:00:00,87520,S,2018-09-13 17:50:00
2018-09-12 00:00:00,215,S,2018-09-13 15:34:00
2018-09-12 00:00:00,372301,N,2018-08-29 12:22:00
2018-09-13 00:00:00,87520,N,2018-09-13 14:26:00
2018-09-13 00:00:00,87520,S,2018-09-14 13:08:00
2018-09-13 00:00:00,372301,S,2018-09-19 12:43:00
2018-09-13 00:00:00,372301,N,2018-09-13 06:36:00
2018-09-13 00:00:00,3363,S,2018-09-17 19:44:00
2018-09-13 00:00:00,8068,S,2018-09-13 02:59:00
2018-09-13 00:00:00,372301,S,2018-09-14 13:16:00
2018-09-13 00:00:00,3363,S,2018-09-14 00:19:00
2018-09-13 00:00:00,215,N,2018-09-06 13:02:00
2018-09-13 00:00:00,3363,S,2018-09-17 22:16:00
2018-09-13 00:00:00,372301,N,2018-09-05 18:15:00
2018-09-13 00:00:00,372301,N,2018-09-03 20:00:00
2018-09-13 00:00:00,372301,N,2018-09-04 20:00:00
2018-09-13 00:00:00,372301,S,2018-09-13 23:46:00
2018-09-14 00:00:00,372301,S,2018-09-25 21:00:00
2018-09-14 00:00:00,372301,S,2018-09-25 21:00:00
2018-09-14 00:00:00,215,S,2018-09-20 11:04:00
2018-09-14 00:00:00,372301,N,2018-09-03 20:46:00
2018-09-14 00:00:00,372301,N,2018-08-20 20:00:00
2018-09-14 00:00:00,372301,N,2018-09-13 20:00:00
2018-09-14 00:00:00,372301,S,2018-09-15 14:55:00
2018-09-14 00:00:00,87520,S,2018-09-17 13:04:00
2018-09-14 00:00:00,372301,N,2018-09-14 00:55:00
2018-09-14 00:00:00,87520,S,2018-09-14 20:23:00
2018-09-14 00:00:00,372301,S,2018-09-19 13:05:00
2018-09-14 00:00:00,87520,S,2018-09-14 17:54:00
2018-09-14 00:00:00,87520,S,2018-09-14 17:56:00
2018-09-14 00:00:00,372301,S,2018-09-14 20:00:00
2018-09-14 00:00:00,372301,N,2018-08-17 11:09:00
2018-09-14 00:00:00,372301,N,2018-08-17 11:10:00
2018-09-14 00:00:00,372301,S,2018-09-18 18:45:00
2018-09-14 00:00:00,372301,N,2018-08-21 14:54:00
2018-09-14 00:00:00,3363,S,2018-09-18 14:58:00
2018-09-14 00:00:00,372301,N,2018-08-13 16:38:00
2018-09-14 00:00:00,372301,N,2018-08-13 16:32:00
2018-09-14 00:00:00,215,S,2018-09-17 12:55:00
2018-09-14 00:00:00,87520,N,2018-09-11 15:26:00
2018-09-14 00:00:00,372301,N,2018-09-08 20:01:00
2018-09-14 00:00:00,372301,S,2018-09-15 17:31:00
2018-09-14 00:00:00,87520,S,2018-09-18 23:24:00
2018-09-14 00:00:00,215,S,2018-09-18 12:08:00
2018-09-14 00:00:00,372301,S,2018-09-19 20:16:00
2018-09-14 00:00:00,215,S,2018-09-19 14:28:00
2018-09-14 00:00:00,215,S,2018-09-19 14:27:00
2018-09-14 00:00:00,372301,S,2018-09-19 20:32:00
2018-09-14 00:00:00,3363,S,2018-09-17 20:41:00
2018-09-14 00:00:00,215,S,2018-09-14 15:24:00
2018-09-14 00:00:00,372301,N,2018-09-01 13:01:00
2018-09-14 00:00:00,3363,S,2018-09-18 14:50:00
2018-09-14 00:00:00,8068,N,2018-09-07 02:59:00
2018-09-14 00:00:00,372301,N,2018-09-11 13:36:00
2018-09-14 00:00:00,372301,N,2018-09-04 16:09:00
2018-09-14 00:00:00,215,N,2018-09-04 20:55:00
2018-09-14 00:00:00,215,S,2018-09-13 21:00:00
2018-09-14 00:00:00,372301,S,2018-09-20 11:45:00
2018-09-14 00:00:00,8068,S,2018-09-14 02:59:00
2018-09-14 00:00:00,372301,S,2018-09-14 18:48:00
2018-09-14 00:00:00,372301,S,2018-09-15 19:01:00
2018-09-14 00:00:00,215,S,2018-09-21 12:31:00
2018-09-14 00:00:00,372301,S,2018-09-15 19:01:00
2018-09-14 00:00:00,215,S,2018-09-13 21:00:00
2018-09-14 00:00:00,372301,S,2018-09-14 20:00:00
2018-09-14 00:00:00,372301,S,2018-09-14 20:00:00
2018-09-14 00:00:00,87520,S,2018-09-19 14:55:00
2018-09-14 00:00:00,87520,S,2018-09-19 13:51:00
2018-09-14 00:00:00,87520,N,2018-09-07 18:32:00
2018-09-14 00:00:00,215,S,2018-09-17 21:00:00
2018-09-14 00:00:00,87520,S,2018-09-17 12:47:00
2018-09-14 00:00:00,87520,S,2018-09-18 22:37:00
2018-09-14 00:00:00,372301,N,2018-09-12 19:44:00
2018-09-14 00:00:00,372301,N,2018-09-12 19:44:00
2018-09-14 00:00:00,372301,N,2018-08-22 20:00:00
2018-09-14 00:00:00,372301,N,2018-09-11 17:27:00
2018-09-14 00:00:00,87520,N,2018-09-12 16:28:00
